source,target,coef_mean,coef_abs,p,X.logp,score,celltype,goi,cell_type
AHR,KCNH1,0.36346173,0.36346173,2.072523698981999e-12,11.683500494660313,11.683500494660313,L2-3_CUX2,AHR,L2-3_CUX2
AHR,UNC5C,0.24607895,0.24607895,1.9574748513856302e-13,12.70830380882282,12.70830380882282,L2-3_CUX2,AHR,L2-3_CUX2
AHR,PDZD2,0.22354537,0.22354537,4.13628102433148e-18,17.38338996237777,17.38338996237777,L2-3_CUX2,AHR,L2-3_CUX2
AHR,SAMD12,0.20480435,0.20480435,1.2598829449991783e-13,12.899669803058986,12.899669803058986,L2-3_CUX2,AHR,L2-3_CUX2
AHR,PCDH9,0.16302668,0.16302668,9.95237620487899e-10,9.00207321579082,9.00207321579082,L2-3_CUX2,AHR,L2-3_CUX2
AHR,COBL,0.15696746,0.15696746,3.4195355628554287e-09,8.466032875284787,8.466032875284787,L2-3_CUX2,AHR,L2-3_CUX2
AHR,GULP1,0.12149668,0.12149668,1.1022432563771366e-11,10.957722549546009,10.957722549546009,L2-3_CUX2,AHR,L2-3_CUX2
AHR,SORCS3,0.117988184,0.117988184,1.872528671014311e-09,8.72757152392597,8.72757152392597,L2-3_CUX2,AHR,L2-3_CUX2
AHR,MAML3,0.11468397,0.11468397,5.873327047694536e-08,7.231115815425649,7.231115815425649,L2-3_CUX2,AHR,L2-3_CUX2
AHR,THRB,0.10065446,0.10065446,1.921861216802495e-06,5.716277977204956,5.716277977204956,L2-3_CUX2,AHR,L2-3_CUX2
AHR,TRHDE,0.09605001,0.09605001,8.973840055794091e-08,7.047021675331702,7.047021675331702,L2-3_CUX2,AHR,L2-3_CUX2
AHR,STPG2,0.088739514,0.088739514,4.996747025445836e-31,30.301312637396318,30.301312637396318,L2-3_CUX2,AHR,L2-3_CUX2
AHR,OXR1,0.076892756,0.076892756,4.801976676085379e-08,7.318579953706734,7.318579953706734,L2-3_CUX2,AHR,L2-3_CUX2
AHR,GSTCD,0.059553742,0.059553742,9.761896471599376e-12,11.010465802503257,11.010465802503257,L2-3_CUX2,AHR,L2-3_CUX2
AHR,LHFPL3,0.05664045,0.05664045,3.698364115405139e-13,12.431990333434657,12.431990333434657,L2-3_CUX2,AHR,L2-3_CUX2
AHR,NR3C1,0.054776687,0.054776687,6.725783617158601e-06,5.17225710897881,5.17225710897881,L2-3_CUX2,AHR,L2-3_CUX2
AHR,PHACTR2,0.05354828,0.05354828,7.823237387892998e-08,7.106613491345716,7.106613491345716,L2-3_CUX2,AHR,L2-3_CUX2
AHR,LINC-PINT,0.051415443,0.051415443,2.751567227452956e-06,5.56041987185694,5.56041987185694,L2-3_CUX2,AHR,L2-3_CUX2
AHR,SNTG2,0.050892692,0.050892692,9.91655958646628e-06,5.003638974193706,5.003638974193706,L2-3_CUX2,AHR,L2-3_CUX2
AHR,INPP4B,0.04861362,0.04861362,0.00018205570089034587,3.7397957170241645,3.7397957170241645,L2-3_CUX2,AHR,L2-3_CUX2
AHR,CAMK2D,-0.04507331,0.04507331,0.0001394479912925178,3.8555877372377187,3.8555877372377187,L2-3_CUX2,AHR,L2-3_CUX2
AHR,RARB,0.12596229,0.12596229,3.4192419604970088e-15,14.46607016554135,14.46607016554135,L4_RORB,AHR,L2-3_CUX2
AHR,TSHZ2,0.10754603,0.10754603,7.2628244082169e-06,5.138894455558321,5.138894455558321,L4_RORB,AHR,L2-3_CUX2
AHR,SAMD12,0.09038366,0.09038366,1.971631087488019e-11,10.705174342770274,10.705174342770274,L4_RORB,AHR,L2-3_CUX2
AHR,UNC5C,0.08525703,0.08525703,3.165900731113398e-14,13.499502706847501,13.499502706847501,L4_RORB,AHR,L2-3_CUX2
AHR,KCNH1,0.06723839,0.06723839,4.73245953732619e-09,8.324913090579397,8.324913090579397,L4_RORB,AHR,L2-3_CUX2
AHR,INPP4B,0.064690426,0.064690426,1.0596916757490481e-13,12.974820477187109,12.974820477187109,L4_RORB,AHR,L2-3_CUX2
AHR,ABI3BP,-0.061340466,0.061340466,2.4191927212197628e-08,7.6163295328665725,7.6163295328665725,L4_RORB,AHR,L2-3_CUX2
AHR,OXR1,0.059187517,0.059187517,2.0094233804201217e-10,9.696928548862411,9.696928548862411,L4_RORB,AHR,L2-3_CUX2
AHR,COBL,0.052104212,0.052104212,1.6718296186750403e-07,6.7768079849350915,6.7768079849350915,L4_RORB,AHR,L2-3_CUX2
AHR,PCDH9,0.05084666,0.05084666,1.2155924425263652e-10,9.915212008640877,9.915212008640877,L4_RORB,AHR,L2-3_CUX2
AHR,PHACTR2,0.049311005,0.049311005,8.854303952140271e-09,8.052845573562104,8.052845573562104,L4_RORB,AHR,L2-3_CUX2
AHR,SORCS3,-0.0456774,0.0456774,2.019321289800226e-06,5.6947945759121135,5.6947945759121135,L4_RORB,AHR,L2-3_CUX2
AHR,NR3C1,0.04420617,0.04420617,4.907546784796497e-13,12.30913555147689,12.30913555147689,L4_RORB,AHR,L2-3_CUX2
AHR,UNC5C,0.14633675,0.14633675,5.369061559677853e-10,9.270101616548006,9.270101616548006,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,SAMD12,0.1216056,0.1216056,9.495321812605084e-08,7.022490311698929,7.022490311698929,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,KIAA1217,-0.1055503,0.1055503,4.779075446445113e-12,11.320656113292523,11.320656113292523,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,OXR1,0.06231035,0.06231035,6.288154048073513e-11,10.201476827431629,10.201476827431629,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,PCDH9,0.058852036,0.058852036,1.6596321053196252e-06,5.77998817240399,5.77998817240399,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,INPP4B,0.05699944,0.05699944,1.2321990251289074e-08,7.909319139140486,7.909319139140486,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,LPAR2,-0.050566357,0.050566357,1.430761706394946e-14,13.844432692037131,13.844432692037131,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,GULP1,0.049910706,0.049910706,4.373723726380847e-08,7.359148653373762,7.359148653373762,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,PDZD2,0.048829775,0.048829775,9.420730888938235e-10,9.025915402014002,9.025915402014002,L5-6_THEMIS,AHR,L2-3_CUX2
AHR,LHFPL3,-0.040972292,0.040972292,5.446243228687299e-06,5.263902967014063,5.263902967014063,L5-6_THEMIS,AHR,L2-3_CUX2
